#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
594;B1036-58;jlm+92;J1038-5831;jlm+92;10:38:19.70;1.0e-02;jml+95;-58:31:27.18;8.0e-02;jml+95;*;0;*;*;0;*;*;0;*;47910.63;*;286.284;-0.023;1.51059205845;3.0e-11;jml+95;-2.8551E-15;7.0e-19;jml+95;*;0;*;*;0;*;47910.63;jml+95;72.74;3.0e-02;jml+95;*;0;*;*;0;*;2.3;9.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.917;*;pks1,htru_pks,misc,pksmb;*;
595;J1039-6108;pbs+23;J1039-6108;pbs+23;10:39:36.72;0;pbs+23;-61:08:46.20;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;287.700;-2.235;3.682528;1.8e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;488.2;7.0e-01;pbs+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.217;*;mmgps-l;*;
596;J1039-6208;pbs+23;J1039-6208;pbs+23;10:39:08.90;0;pbs+23;-62:08:18.10;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;288.134;-3.129;0.802206;6.0e-06;pbs+23;*;0;*;*;0;*;*;0;*;*;*;281.8;1.0e+00;pbs+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.499;*;mmgps-l;*;
597;B1039-19;mlt+78;J1041-1942;mlt+78;10:41:36.196;5.0e-03;hlk+04;-19:42:13.61;1.1e-01;hlk+04;-1.0;3.0e+00;bfg+03;14;5.0e+00;bfg+03;*;0;*;48738.0;hlk+04;265.591;33.590;0.7213091662526;1.2e-12;hlk+04;-4.91593E-16;1.0e-20;hlk+04;6.6E-29;1.0e-28;hlk+04;*;0;*;48738.0;hlk+04;33.777;1.0e-02;hlk+04;*;0;*;28;6.0e+00;lylg95;2.3;9.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.532;*;mol2,misc,pks70;*;
598;B1039-55;mlt+78;J1042-5521;mlt+78;10:42:00.4853;9.0e-04;lbs+20;-55:21:05.793;6.0e-03;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;285.192;2.998;0.854067790376;2.0e-12;lbs+20;-4.89999E-15;6.0e-20;lbs+20;*;0;*;*;0;*;57600;lbs+20;306.5;4.0e-01;hfs+04;*;0;*;14;0;tml93;0.62;7.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.789;*;mol2,htru_pks,misc,pks1,pks70,pksmb;*;
599;J1043-6116;kbm+03;J1043-6116;kbm+03;10:43:55.261;2.0e-03;psj+19;-61:16:50.76;2.0e-02;psj+19;*;0;*;*;0;*;*;0;*;55358;psj+19;288.221;-2.106;3.46493998447;4.0e-11;psj+19;-1.249169E-13;7.0e-19;psj+19;*;0;*;*;0;*;55358;psj+19;448.91;2.0e-02;pkj+13;*;0;*;*;0;*;1.39;7.0e-02;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.055;*;pksmb,htru_pks,misc;*;
600;J1044-5737;sdz+10;J1044-5737;sdz+10;10:44:32.8;1.0e-01;sdz+10;-57:37:19.3;8.0e-01;sdz+10;*;0;*;*;0;*;*;0;*;54800.00;*;286.574;1.163;7.192749594;2.0e-09;sdz+10;-2.8262E-12;2.0e-16;sdz+10;*;0;*;*;0;*;54800;sdz+10;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.895;GRS:4FGL_J1044.4-5737[aab+22],GRS:1AGL_J,XRS:[pb15];FermiBlind;NRAD[aab+22];
601;J1045-0436;mss+20;J1045-0436;mss+20;10:45:57.9246;4.1e-04;spp+23;-04:36:23.394;1.3e-02;spp+23;*;0;*;*;0;*;*;0;*;57891.00;*;254.464;46.123;41.58433482255;5.0e-11;spp+23;-1.360E-16;1.0e-18;spp+23;*;0;*;*;0;*;57891;spp+23;4.8175;9.0e-04;spp+23;*;0;*;*;0;*;*;0;*;DD;msk+24;57481.373;1.3e-02;msk+24;10.27364598;2.0e-08;msk+24;22.252634;7.0e-06;msk+24;321.9;4.0e-01;msk+24;7.46E-5;8.0e-07;msk+24;*;0;*;-4.53E-5;8.0e-07;spp+23;5.83E-5;8.0e-07;spp+23;0.329;*;gbncc;*;
602;J1045-4509;bhl+94;J1045-4509;bhl+94;10:45:50.179283;1.5e-05;sbf+24;-45:09:54.05489;1.7e-04;sbf+24;-6.2;2.0e-01;*;4.9;2.0e-01;*;1.7;7.0e-01;rsc+21;59142;sbf+24;280.851;12.254;133.7931495240541;7.0e-13;rsc+21;-3.16197E-16;8.0e-21;rsc+21;*;0;*;*;0;*;55627;rsc+21;58.1106;6.0e-04;sbm+22;*;0;*;15;3.0e+00;tbms98;2.74;4.0e-02;dhm+15;T2;rsc+21;*;0;*;4.08352925449;8.0e-11;rsc+21;3.0151324;5.0e-07;rsc+21;242.1;0.0e+00;rsc+21;2.349E-5;0.0e+00;rsc+21;50273.50700484;1.2e-07;rsc+21;-2.076E-5;9.0e-08;rsc+21;-1.099E-5;9.0e-08;rsc+21;0.340;*;pks70,ghrss,htru_pks,pkssw;*;
603;J1046+0304;bjd+06;J1046+0304;bjd+06;10:46:43.23;6.0e-02;bjd+06;+03:04:06.9;2.0e+00;bjd+06;*;0;*;*;0;*;*;0;*;*;*;246.412;51.697;3.064937;0;dmo+24;-1.167e-15;0;dmo+24;*;0;*;*;0;*;*;*;24.98;0;dmo+24;*;0;*;*;0;*;0.3;0;bjd+06;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.740;*;pkshl,ar327,gbncc;*;
604;B1044-57;mlt+78;J1046-5813;mlt+78;10:46:18.81;2.0e-02;jbv+19;-58:13:52.0;1.0e-01;jbv+19;*;0;*;*;0;*;*;0;*;57600;jbv+19;287.065;0.733;2.70688676029;8.0e-11;jbv+19;-8.401E-15;6.0e-18;jbv+19;*;0;*;*;0;*;57600;jbv+19;240.2;5.0e-01;nmc81;*;0;*;18;0;tml93;1.370;1.0e-02;jsd+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.340;*;mol2,htru_pks,misc,pks1,pks70,pksmb;*;
605;J1047-3032;lml+98;J1047-3032;lml+98;10:47:00.813;1.4e-02;hlk+04;-30:32:18.0;2.3e-01;hlk+04;*;0;*;*;0;*;*;0;*;51019.0;hlk+04;273.495;25.127;3.027293603866;1.7e-11;hlk+04;-5.5909E-16;1.8e-19;hlk+04;1.4E-26;7.0e-27;hlk+04;*;0;*;51019.0;hlk+04;52.54;7.0e-02;hlk+04;*;0;*;8;0;lml+98;1.1;2.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.144;*;pks70,gbncc,misc;*;
606;J1047-6709;lml+98;J1047-6709;lml+98;10:47:28.282;2.0e-03;dsb+98;-67:09:51.066;9.0e-03;dsb+98;*;0;*;*;0;*;*;0;*;49139.00;*;291.314;-7.132;5.03901582561;3.0e-11;dsb+98;-4.28393E-14;6.0e-19;dsb+98;*;0;*;*;0;*;49139.0;dsb+98;116.156;2.0e-03;dsb+98;*;0;*;4;0;lml+98;3.1;9.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.765;*;pks70,htru_pks,misc,pkssw;*;
607;J1048+2339;cck+16;J1048+2339;cck+16;10:48:43.418354;7.6e-05;drc+21;+23:39:53.4043;2.0e-03;drc+21;-19;3.0e+00;qyb+15;-9.4;7.0e-01;qyb+15;*;0;*;56700;drc+21;213.172;62.139;214.35478534113;2.0e-11;drc+21;-1.382E-15;2.0e-18;drc+21;*;0;*;*;0;*;57285;drc+21;16.65440;1.0e-04;drc+16;*;0;*;*;0;*;0.175;3.0e-03;drc+16;BTX;drc+21;56637.598174;2.0e-06;drc+21;0.25051916;3.0e-08;drc+21;0.836120;3.0e-06;drc+21;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.002;GRS:4FGL_J1048.6+2340[aab+22];FermiAssoc;HE[drc+21];
608;J1048+5349;dcm+23;J1048+5349;dcm+23;10:48:06.46;5.0e-02;dcm+23;+53:49:51.9;3.0e-01;dcm+23;*;0;*;*;0;*;*;0;*;59216;dcm+23;154.756;54.996;0.36618479871;2.0e-11;dcm+23;-1.63E-16;9.0e-18;dcm+23;*;0;*;*;0;*;59216;dcm+23;27.3;9.0e-01;dcm+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;chime;*;
609;B1046-58;jlm+92;J1048-5832;jlm+92;10:48:13.05;2.0e-02;jbv+19;-58:32:06.2;1.0e-01;jbv+19;*;0;*;*;0;*;*;0;*;57600;jbv+19;287.427;0.577;8.0824184675;2.0e-10;jbv+19;-6.27920E-12;2.0e-17;jbv+19;1.470E-22;1.0e-24;jbv+19;*;0;*;57600;jbv+19;128.679;4.0e-03;pkj+13;*;0;*;*;0;*;9.1;5.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.900;GRS:4FGL_J1048.2-5832[aab+22];pks1,FermiBlind,htru_pks,misc,pksmb;HE[klm+00],HE[aaa+09i];
610;J1048-5838;kle+10;J1048-5838;kle+10;10:48:12.561;1.4e-02;jcs+17;-58:38:19.02;1.0e-01;jcs+17;*;0;*;*;0;*;*;0;*;53510;jcs+17;287.473;0.485;0.812146609824;3.0e-12;jcs+17;-8.04278E-15;5.0e-20;jcs+17;*;0;*;*;0;*;53510;jcs+17;70.7;9.0e-01;cbmp17;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.008;*;pksmb;RRAT;
611;J1049+5822;sbo+22;J1049+5822;sbo+22;10:49:37.90;8.0e-02;sbo+22;+58:22:17.1;9.0e-01;sbo+22;*;0;*;*;0;*;*;0;*;59000.00;*;148.656;52.241;1.37434776862;6.0e-11;sbo+22;-7.376E-15;6.0e-18;sbo+22;*;0;*;*;0;*;59000;sbo+22;12.364;1.1e-02;sbo+22;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.120;*;tulipp;*;
612;J1049-5833;mlc+01;J1049-5833;mlc+01;10:49:50.34;9.0e-02;mlc+01;-58:33:44.6;1.5e+00;mlc+01;*;0;*;*;0;*;*;0;*;51031.00;*;287.628;0.649;0.45406557389;5.0e-11;mlc+01;-9.1E-16;3.0e-17;mlc+01;*;0;*;*;0;*;51031.00001;mlc+01;446.8;1.5e+00;mlc+01;*;0;*;*;0;*;0.70;1.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.004;*;pksmb,htru_pks,misc;*;
613;J1050-5953;scs86;J1050-5953;scs86;10:50:07.12;5.0e-02;ics+02;-59:53:21.4;7.0e-01;ics+02;*;0;*;*;0;*;*;0;*;51650.00;*;288.256;-0.520;0.154988861;1.3e-08;kgc+01;-9.15E-13;3.0e-15;kgc+01;*;0;*;*;0;*;51650.0;kgc+01;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;9.000;XRS:1E_1048.1-5937;misc;AXP,NRAD;
614;J1051-6214;pbs+23;J1051-6214;pbs+23;10:51:36.56;0;pbs+23;-62:14:56.50;0;pbs+23;*;0;*;*;0;*;*;0;*;*;*;289.473;-2.550;0.87256;4.0e-05;pbs+23;*;0;*;*;0;*;*;0;*;*;*;246;4.0e+00;pbs+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.310;*;mmgps-l;*;
615;J1052-5954;kbm+03;J1052-5954;kbm+03;10:52:38.11;7.0e-02;kbm+03;-59:54:44.1;5.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51683.00;*;288.549;-0.400;5.5373591568;4.0e-10;kbm+03;-6.1273E-13;6.0e-17;kbm+03;*;0;*;*;0;*;51683.0;kbm+03;491.9;6.0e-01;pkj+13;*;0;*;*;0;*;0.147;9.0e-03;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.143;*;pksmb;*;
616;J1052-6348;hfs+04;J1052-6348;hfs+04;10:52:53.39;6.0e-02;hfs+04;-63:48:16.6;3.0e-01;hfs+04;*;0;*;*;0;*;*;0;*;52477.00;*;290.294;-3.881;2.60531718877;1.0e-10;hfs+04;-2.63E-15;4.0e-17;hfs+04;*;0;*;*;0;*;52477.0;hfs+04;167.5;1.4e+00;hfs+04;*;0;*;*;0;*;0.11;2.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.994;*;pksmb;*;
617;J1054-5943;kbm+03;J1054-5943;kbm+03;10:54:57.75;4.0e-02;kbm+03;-59:43:14.1;5.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51395.00;*;288.729;-0.100;2.88260068591;1.1e-10;kbm+03;-3.385E-14;7.0e-17;kbm+03;*;0;*;*;0;*;51395.0;kbm+03;330.7;6.0e-01;kbm+03;*;0;*;*;0;*;0.31;4.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.585;*;pksmb,htru_pks;*;
618;J1054-5946;bbb+12;J1054-5946;bbb+12;10:54:30.46;1.0e-02;bbb+12;-59:46:31.0;1.0e-01;bbb+12;*;0;*;*;0;*;*;0;*;55337.00;*;288.701;-0.174;4.37973627453;1.6e-10;bbb+12;-4.009E-15;6.0e-18;bbb+12;*;0;*;*;0;*;55337;bbb+12;253.9;6.0e-01;bbb+12;*;0;*;*;0;*;0.2;0;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.327;*;htru_pks;*;
619;J1054-6452;hfs+04;J1054-6452;hfs+04;10:54:08.84;1.6e-01;hfs+04;-64:52:37.5;8.0e-01;hfs+04;*;0;*;*;0;*;*;0;*;51875.00;*;290.889;-4.784;0.54347721486;6.0e-11;hfs+04;-9.27E-16;1.2e-17;hfs+04;*;0;*;*;0;*;51875.0;hfs+04;234;4.0e+00;hfs+04;*;0;*;*;0;*;0.25;4.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.342;*;pksmb,htru_pks;*;
620;J1055-6022;hfs+04;J1055-6022;hfs+04;10:55:48.5;4.0e-01;hfs+04;-60:22:52;3.0e+00;hfs+04;*;0;*;*;0;*;*;0;*;52746.00;*;289.109;-0.650;1.0553439136;3.0e-10;hfs+04;-1.0290E-13;1.3e-16;hfs+04;*;0;*;*;0;*;52746.0;hfs+04;590;5.0e+00;hfs+04;*;0;*;*;0;*;0.2;0;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.597;*;pksmb,htru_pks;*;
621;J1055-6028;kel+09;J1055-6028;kel+09;10:55:39.19;2.0e-02;kel+09;-60:28:37.5;2.0e-01;kel+09;*;0;*;*;0;*;*;0;*;54362.20;*;289.133;-0.745;10.0340320774;4.0e-10;kel+09;-2.97336E-12;6.0e-17;kel+09;*;0;*;*;0;*;54362.2;kel+09;636.50;1.0e-01;pkj+13;*;0;*;*;0;*;0.95;5.0e-02;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.830;GRS:4FGL_J1055.7-6028[aab+22];pksmb,FermiBlind,htru_pks;HE;
622;J1055-6236;kbm+03;J1055-6236;kbm+03;10:55:54.61;7.0e-02;kbm+03;-62:36:48.3;4.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51703.00;*;290.081;-2.660;2.22898127379;1.5e-10;kbm+03;-3.52E-15;4.0e-17;kbm+03;*;0;*;*;0;*;51703.0;kbm+03;149.7;1.5e+00;kbm+03;*;0;*;*;0;*;0.12;2.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.883;*;pksmb,htru_pks;*;
623;J1055-6905;ebvb01;J1055-6905;ebvb01;10:55:44.71;9.0e-02;ebvb01;-69:05:11.4;4.0e-01;ebvb01;*;0;*;*;0;*;*;0;*;51500.00;*;292.879;-8.504;0.34253649110;4.0e-11;ebvb01;-2.3860E-15;1.8e-18;ebvb01;*;0;*;*;0;*;51500.0;ebvb01;142.8;4.0e-01;ebvb01;*;0;*;*;0;*;0.30;1.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.035;*;pkssw,htru_pks;*;
624;J1056-5709;mlc+01;J1056-5709;mlc+01;10:56:43.79;1.2e-01;mlc+01;-57:09:34.5;1.2e+00;mlc+01;*;0;*;*;0;*;*;0;*;51216.00;*;287.835;2.311;1.47911075457;1.6e-10;mlc+01;-1.26E-15;3.0e-17;mlc+01;*;0;*;*;0;*;51216.0;mlc+01;436.5;1.8e+00;mlc+01;*;0;*;*;0;*;0.11;2.0e-02;mlc+01;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.062;*;pksmb,htru_pks;*;
625;B1054-62;mlt+78;J1056-6258;mlt+78;10:56:25.584;3.0e-03;jbv+19;-62:58:47.69;2.0e-02;jbv+19;*;0;*;*;0;*;*;0;*;57600;jbv+19;290.292;-2.966;2.367141061860;1.0e-11;jbv+19;-2.00460E-14;3.0e-19;jbv+19;8.8E-25;5.0e-26;jbv+19;*;0;*;57600;jbv+19;320.62;3.0e-02;sjd+21;*;0;*;45;0;tml93;34;8.0e+00;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.400;*;mol2,htru_pks,misc,pks1,pks70,pksmb;*;
626;J1056-7117;nbb+14;J1056-7117;nbb+14;10:56:45.980;4.0e-03;nbb+14;-71:17:53.394;1.4e-02;nbb+14;*;0;*;*;0;*;*;0;*;57436.50;*;293.933;-10.458;38.0088284880;1.0e-09;nbb+14;-9.1E-17;9.0e-18;nbb+14;*;0;*;*;0;*;57436.5;nbb+14;92.904;5.0e-03;sbm+22;*;0;*;*;0;*;0.50;2.0e-02;sbm+22;ELL1;nbb+14;*;0;*;9.1387994;5.0e-07;nbb+14;4.14855;2.0e-05;nbb+14;153;0.0e+00;nbb+14;1.3E-5;0.0e+00;nbb+14;57436.53532;7.0e-05;nbb+14;6.0E-6;8.0e-06;nbb+14;-1.2E-5;1.0e-05;nbb+14;1.689;*;htru_pks;*;
627;J1057-4754;ebvb01;J1057-4754;ebvb01;10:57:53.138;7.0e-03;jbo+09;-47:54:57.60;9.0e-02;jbo+09;*;0;*;*;0;*;*;0;*;53000.00;*;284.007;10.739;1.591581479875;1.8e-11;jbo+09;-5.694E-16;6.0e-19;jbo+09;*;0;*;*;0;*;53000.0;jbo+09;60;8.0e+00;ebvb01;*;0;*;*;0;*;0.53;3.0e-02;xwh+19;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.639;*;pkssw,htru_pks;*;
628;B1055-52;vl72;J1057-5226;vl72;10:57:59.045;2.0e-03;jbv+19;-52:26:56.33;2.0e-02;jbv+19;47.5;7.0e-01;ppkh23;-8.7;7.0e-01;ppkh23;*;0;*;57600;jbv+19;285.984;6.649;5.07318862008;2.0e-11;jbv+19;-1.502720E-13;1.0e-18;jbv+19;-7.00E-25;1.0e-26;jbv+19;*;0;*;57600;jbv+19;29.690;1.0e-02;pkj+13;*;0;*;80;0;tml93;4.4;6.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.093;GRS:4FGL_J1057.9-5227[aab+22],XRS:[of93],OPT:[mpk10];mol1,FermiBlind,htru_pks,misc,mol2,pks70,pkssw;HE[aaa+10m];
629;J1057-5851;cwp+17;J1057-5851;cwp+17;10:57:09.5;2.0e-01;cwp+17;-58:51:07;2.0e+00;cwp+17;*;0;*;*;0;*;*;0;*;55716;cwp+17;288.609;0.805;1.6119541713;3.0e-10;cwp+17;-2.61350E-13;1.0e-17;cwp+17;*;0;*;*;0;*;55716;cwp+17;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;GRS:4FGL_J1056.9-5852[aab+22];FermiBlind;NRAD[aab+22];
630;B1056-78;mlt+78;J1057-7914;mlt+78;10:57:27.7;1.0e-01;lbs+20;-79:14:23.6;3.0e-01;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;297.571;-17.574;0.74216802567;8.0e-11;lbs+20;-7.321E-16;4.0e-19;lbs+20;*;0;*;*;0;*;57600;lbs+20;51;2.0e+00;nmc81;*;0;*;6.5;0;tml93;0.60;1.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.438;*;mol2,misc,pks70;*;
631;J1058-5957;kbm+03;J1058-5957;kbm+03;10:58:34.25;3.0e-02;kbm+03;-59:57:36.4;3.0e-01;kbm+03;*;0;*;*;0;*;*;0;*;51446.00;*;289.241;-0.123;1.62266467308;5.0e-11;kbm+03;-1.730E-15;1.1e-17;kbm+03;*;0;*;*;0;*;51446.0;kbm+03;334.0;1.1e+00;kbm+03;*;0;*;*;0;*;0.60;1.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.588;*;pksmb,htru_pks,misc;*;
632;J1059+6459;slr+14;J1059+6459;slr+14;10:59:27.5;2.9e-01;lsk+18;+64:59:32;1.9e+00;lsk+18;*;0;*;*;0;*;*;0;*;56500.00;*;140.251;48.198;0.27539335490;1.0e-10;lsk+18;-4.35E-16;4.0e-18;lsk+18;*;0;*;*;0;*;56500;lsk+18;19.3;9.0e-01;mss+20;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.944;*;gbncc,lotaas;*;
633;B1056-57;mlt+78;J1059-5742;mlt+78;10:59:00.8886;4.0e-04;lbs+20;-57:42:14.55;3.0e-02;lbs+20;*;0;*;*;0;*;*;0;*;57600;lbs+20;288.345;1.948;0.843879990895;8.0e-12;lbs+20;-3.0668E-15;3.0e-19;lbs+20;*;0;*;*;0;*;57600;lbs+20;108.7;3.0e-01;hfs+04;*;0;*;19;0;tml93;2.0;6.0e-01;jvk+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.644;*;mol2,htru_pks,misc,pks1,pks70,pksmb;*;
634;J1101-6101;htg+14;J1101-6101;htg+14;11:01:44.96;9.0e-02;tbr+12;-61:01:39.6;7.0e-01;tbr+12;*;0;*;*;0;*;*;0;*;56494.00;*;290.040;-0.932;15.9235474;1.4e-06;htg+14;-2.17E-12;1.3e-13;htg+14;*;0;*;*;0;*;56494.0;htg+14;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;7.000;SNR:G290.1-0.8(MSH_11-61A)[htg+14];misc;NRAD;
635;J1101-6424;ncb+15;J1101-6424;ncb+15;11:01:37.19072;2.7e-05;sbf+24;-64:24:39.33160;1.7e-04;sbf+24;-1.0;2.7e-01;*;0.5;2.4e-01;*;*;0;*;59142;sbf+24;291.417;-4.023;195.72256536982;8.0e-11;ncb+15;-6.9E-17;8.0e-18;ncb+15;*;0;*;*;0;*;56597;ncb+15;207.3633;5.0e-04;sbm+22;*;0;*;*;0;*;0.302;3.0e-03;sbm+22;ELL1;ncb+15;*;0;*;9.6117082;3.0e-07;ncb+15;14.02466;3.0e-05;ncb+15;86;0.0e+00;ncb+15;2.57E-5;0.0e+00;ncb+15;55689.00791;3.0e-05;ncb+15;2.56E-5;1.3e-06;ncb+15;2.0E-6;1.2e-06;ncb+15;2.175;*;htru_pks;*;
636;J1102+02;trr+21;J1102+02;trr+21;11:02;0;wvumsp21;+02;0;wvumsp21;*;0;*;*;0;*;*;0;*;*;*;252.063;53.694;246.913580;0;wvumsp21;*;0;*;*;0;*;*;0;*;*;*;27.3;0;wvumsp21;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;GRS:4FGL_J1102.4+0246[aab+22];FermiAssoc;HE[aab+22];
637;J1103-5403;kjr+11;J1103-5403;kjr+11;11:03:33.27679;4.2e-05;sbf+24;-54:03:43.1281;3.8e-04;sbf+24;-7.2;4.0e-01;*;1.1;4.0e-01;*;*;0;*;59149;sbf+24;287.421;5.529;294.749654528;3.0e-09;kjr+11;-3.2E-16;8.0e-17;kjr+11;*;0;*;*;0;*;55300;kjr+11;103.9114;3.0e-04;sbm+22;*;0;*;*;0;*;0.395;1.0e-02;sbm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.683;*;FermiAssoc;*;
638;J1103-6025;kbm+03;J1103-6025;kbm+03;11:03:31.48;2.0e-02;kbm+03;-60:25:36.39;9.0e-02;kbm+03;*;0;*;*;0;*;*;0;*;51489.00;*;289.994;-0.294;2.52151642157;4.0e-11;kbm+03;-6.297E-15;1.3e-17;kbm+03;*;0;*;*;0;*;51489.0;kbm+03;275.9;3.0e-01;kbm+03;*;0;*;*;0;*;0.17;3.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.379;*;pksmb,htru_pks;*;
